title,title_bm,title_zh,title_ta,cuisine,image_url,description,ingredients,steps,prep_time,cook_time,servings,spice_level,zero_waste_tip,ingredient_tags,nutrient_tags
Sweet Potato Porridge,Bubur Ubi Keledek,红薯粥,சர்க்கரைவள்ளி கஞ்சி,malay,,A warm simple porridge using rice and sweet potato.,"{""1 cup rice"",""1 sweet potato cubed"",""3 slices ginger"",""water as needed""}","{""Rinse rice and add to pot with water."",""Add sweet potato and ginger."",""Simmer until rice breaks down."",""Serve warm with light seasoning.""}",10,30,2,mild,Use leftover porridge as a base for the next morning meal.,"{""Rice"",""Sweet Potato"",""Ginger""}","{""lower_sugar"",""lower_sodium""}"
Banana Pandan Smoothie,Smoothie Pisang Pandan,香蕉班兰冰沙,வாழை பாண்டன் ஸ்மூத்தி,malay,,A simple fruit drink using banana and pandan aroma without added sugar.,"{""2 bananas"",""1 pandan leaf"",""200 ml water or milk"",""ice optional""}","{""Blend banana with water or milk."",""Add pandan infusion or a small pandan piece."",""Blend until smooth."",""Serve chilled.""}",8,0,2,mild,Freeze overripe bananas for future smoothies.,"{""Banana"",""Pandan Leaf""}","{""lower_sodium""}"
Garlic Ginger Chicken Soup,Sup Ayam Halia Bawang Putih,姜蒜鸡汤,இஞ்சி பூண்டு கோழி சூப்,chinese,,A warm clear chicken soup with ginger and garlic.,"{""300 g chicken breast"",""4 slices ginger"",""3 cloves garlic"",""1 carrot sliced"",""water as needed""}","{""Simmer ginger and garlic in water."",""Add chicken and carrot."",""Cook until chicken is tender."",""Season lightly and serve warm.""}",10,30,2,mild,Use leftover soup as noodle broth.,"{""Chicken Breast"",""Ginger"",""Garlic"",""Carrot""}","{""high_protein"",""lower_sugar""}"
Egg Fried Rice,Nasi Goreng Telur,鸡蛋炒饭,முட்டை பொரித்த சாதம்,chinese,,A quick fried rice using egg garlic carrot and leftover rice.,"{""2 cups cooked rice"",""2 eggs"",""2 cloves garlic"",""1 carrot diced"",""1 tbsp oil""}","{""Fry garlic until fragrant."",""Add egg and scramble."",""Add rice and carrot."",""Stir-fry until hot.""}",10,10,2,mild,Best made with leftover rice to reduce waste.,"{""Rice"",""Egg"",""Garlic"",""Carrot""}","{""lower_sugar""}"
Tomato Egg Stir Fry,Telur Tomato,番茄炒蛋,தக்காளி முட்டை பொரியல்,chinese,,A soft tomato and egg dish for a fast meal.,"{""3 eggs"",""2 tomatoes chopped"",""2 cloves garlic"",""1 red onion sliced""}","{""Scramble eggs and set aside."",""Cook garlic onion and tomato."",""Return egg to the pan."",""Season lightly and serve.""}",10,10,2,mild,Use very ripe tomatoes before they spoil.,"{""Egg"",""Tomato"",""Garlic"",""Red Onion""}","{""lower_sugar""}"
Cabbage Tofu Soup,Sup Kobis Tauhu,卷心菜豆腐汤,முட்டைக்கோஸ் டோஃபு சூப்,chinese,,A light vegetable tofu soup.,"{""150 g tofu cubed"",""200 g cabbage"",""2 cloves garlic"",""3 slices ginger""}","{""Simmer garlic and ginger."",""Add cabbage and cook until soft."",""Add tofu cubes."",""Serve warm.""}",10,15,2,mild,Use cabbage cores sliced thinly in the soup.,"{""Tofu"",""Cabbage"",""Garlic"",""Ginger""}","{""lower_sugar"",""lower_sodium""}"
Long Bean Omelette,Telur Dadar Kacang Panjang,长豆煎蛋,பயத்தங்காய் ஆம்லெட்,chinese,,An easy omelette with chopped long beans.,"{""3 eggs"",""100 g long bean chopped"",""1 red onion sliced""}","{""Beat eggs."",""Mix in long bean and onion."",""Pan-fry until golden."",""Slice and serve.""}",10,8,2,mild,Use small bean pieces left from other dishes.,"{""Egg"",""Long Bean"",""Red Onion""}","{""lower_sugar""}"
Garlic Spinach,Bayam Bawang Putih,蒜蓉菠菜,பூண்டு பசலைக் கீரை,chinese,,A quick leafy green stir-fry.,"{""300 g spinach"",""3 cloves garlic"",""1 tbsp oil""}","{""Wash spinach well."",""Fry garlic until fragrant."",""Add spinach and stir-fry quickly."",""Serve immediately.""}",8,5,2,mild,Cook stems first and leaves last to use the whole bunch.,"{""Spinach"",""Garlic""}","{""lower_sugar""}"
Cucumber Egg Salad,Salad Timun Telur,黄瓜鸡蛋沙拉,வெள்ளரி முட்டை சாலட்,chinese,,A cool salad with boiled egg and cucumber.,"{""2 eggs boiled"",""1 cucumber sliced"",""1 tomato sliced""}","{""Boil and slice eggs."",""Slice cucumber and tomato."",""Toss together."",""Serve chilled.""}",10,10,2,mild,Use cucumber ends in infused water.,"{""Egg"",""Cucumber"",""Tomato""}","{""lower_sugar"",""lower_sodium""}"
Shrimp Ginger Rice Porridge,Bubur Udang Halia,姜虾粥,இஞ்சி இறால் கஞ்சி,chinese,,A gentle rice porridge with shrimp and ginger.,"{""1 cup rice"",""100 g shrimp"",""4 slices ginger"",""water as needed""}","{""Simmer rice with water."",""Add ginger and cook until soft."",""Add shrimp near the end."",""Serve warm.""}",10,35,2,mild,Use leftover cooked rice to shorten cooking time.,"{""Rice"",""Shrimp"",""Ginger""}","{""high_protein"",""lower_sugar""}"
Mackerel Ginger Soup,Sup Ikan Kembung Halia,姜鱼汤,இஞ்சி மீன் சூப்,chinese,,A light fish soup with ginger and tomato.,"{""2 mackerel pieces"",""4 slices ginger"",""1 tomato"",""2 cloves garlic""}","{""Simmer ginger garlic and tomato."",""Add mackerel."",""Cook gently until fish is done."",""Serve hot.""}",10,20,2,mild,Use fish bones for extra broth if available.,"{""Mackerel"",""Ginger"",""Tomato"",""Garlic""}","{""high_protein"",""lower_sugar""}"
Pandan Rice,Beras Pandan,班兰饭,பாண்டன் சாதம்,malay,,Fragrant rice cooked with pandan leaf.,"{""2 cups rice"",""2 pandan leaves"",""water as needed""}","{""Rinse rice."",""Tie pandan leaves into knots."",""Cook rice with pandan."",""Serve with vegetables or protein.""}",5,20,2,mild,Use leftover pandan rice for fried rice.,"{""Rice"",""Pandan Leaf""}","{""lower_sugar"",""lower_sodium""}"
Sambal Egg,Telur Sambal,参巴鸡蛋,முட்டை சம்பல்,malay,,Boiled eggs coated in chili tomato sambal.,"{""4 eggs"",""3 chilies"",""1 tomato"",""1 red onion"",""2 cloves garlic""}","{""Boil eggs and peel."",""Cook chili onion garlic and tomato."",""Add eggs."",""Coat with sambal and serve.""}",15,15,2,spicy,Use extra sambal for vegetables the next day.,"{""Egg"",""Chili"",""Tomato"",""Red Onion"",""Garlic""}","{""lower_sugar""}"
Sambal Tofu,Tauhu Sambal,参巴豆腐,டோஃபு சம்பல்,malay,,Crisp tofu tossed with spicy sambal.,"{""250 g tofu"",""3 chilies"",""1 red onion"",""2 cloves garlic"",""1 tomato""}","{""Pan-fry tofu."",""Cook sambal ingredients until fragrant."",""Add tofu."",""Toss gently and serve.""}",15,15,2,spicy,Crumble leftover tofu into fried rice.,"{""Tofu"",""Chili"",""Red Onion"",""Garlic"",""Tomato""}","{""lower_sugar""}"
Ayam Masak Merah Light,Ayam Masak Merah Ringan,轻版红酱鸡,லேசான சிவப்பு கோழி,malay,,A lighter tomato chili chicken dish.,"{""300 g chicken breast"",""2 tomatoes"",""2 chilies"",""1 red onion"",""2 cloves garlic""}","{""Cook onion garlic chili and tomato."",""Add chicken pieces."",""Simmer until cooked."",""Serve with rice.""}",15,20,2,medium,Use leftover sauce for tofu or eggs.,"{""Chicken Breast"",""Tomato"",""Chili"",""Red Onion"",""Garlic""}","{""high_protein"",""lower_sugar""}"
Sayur Lodeh Simple,Sayur Lodeh Ringkas,简易椰菜咖喱,எளிய சாயூர் லோதே,malay,,Mixed vegetables simmered with a small amount of coconut milk.,"{""150 g cabbage"",""1 carrot"",""100 g long bean"",""120 ml coconut milk"",""1 tsp turmeric""}","{""Simmer vegetables with water."",""Add turmeric."",""Add coconut milk near the end."",""Serve warm.""}",15,20,2,mild,Use mixed vegetable leftovers in the stew.,"{""Cabbage"",""Carrot"",""Long Bean"",""Coconut Milk"",""Turmeric""}","{""lower_sugar""}"
Pajeri Nanas,Pajeri Nanas,菠萝咖喱,அன்னாசி பஜேரி,malay,,A sweet sour pineapple curry dish.,"{""2 cups pineapple chunks"",""120 ml coconut milk"",""1 tsp turmeric"",""1 red onion"",""2 chilies""}","{""Cook onion chili and turmeric."",""Add pineapple."",""Simmer until tender."",""Stir in coconut milk.""}",15,20,2,medium,Use pineapple core to flavour water or broth.,"{""Pineapple"",""Coconut Milk"",""Turmeric"",""Red Onion"",""Chili""}","{}"
Kerabu Timun,Kerabu Timun,黄瓜沙拉,வெள்ளரி கெராபு,malay,,A fresh cucumber salad with chili and onion.,"{""1 cucumber sliced"",""1 red onion sliced"",""1 chili sliced"",""1 tomato sliced""}","{""Slice all vegetables."",""Toss with lime or vinegar."",""Rest briefly."",""Serve chilled.""}",12,0,2,spicy,Use soft tomatoes in dressing instead of throwing them away.,"{""Cucumber"",""Red Onion"",""Chili"",""Tomato""}","{""lower_sugar"",""lower_sodium""}"
Bayam Masak Air,Bayam Masak Air,清汤菠菜,பசலைக் கீரை சூப்,malay,,A simple spinach clear soup.,"{""300 g spinach"",""2 cloves garlic"",""3 slices ginger""}","{""Boil water with garlic and ginger."",""Add spinach stems first."",""Add leaves and cook briefly."",""Serve warm.""}",8,8,2,mild,Use stems and leaves together to reduce waste.,"{""Spinach"",""Garlic"",""Ginger""}","{""lower_sugar"",""lower_sodium""}"
Terung Sambal,Terung Sambal,参巴茄子,கத்திரிக்காய் சம்பல்,malay,,Eggplant cooked with spicy sambal.,"{""1 eggplant sliced"",""3 chilies"",""1 red onion"",""2 cloves garlic"",""1 tomato""}","{""Pan-fry eggplant."",""Cook sambal ingredients."",""Add eggplant back."",""Simmer briefly and serve.""}",15,18,2,spicy,Use small eggplant pieces in omelette or fried rice.,"{""Eggplant"",""Chili"",""Red Onion"",""Garlic"",""Tomato""}","{""lower_sugar""}"
Kari Kentang,Kari Kentang,土豆咖喱,உருளைக்கிழங்கு கறி,indian,,A simple potato curry with onion tomato and turmeric.,"{""2 potatoes cubed"",""1 tomato"",""1 red onion"",""1 tsp turmeric"",""2 cloves garlic""}","{""Cook onion garlic tomato and turmeric."",""Add potatoes and water."",""Simmer until soft."",""Serve with rice.""}",15,25,2,medium,Keep clean potato skins on for extra fiber.,"{""Potato"",""Tomato"",""Red Onion"",""Turmeric"",""Garlic""}","{}"
Tofu Curry,Kari Tauhu,豆腐咖喱,டோஃபு கறி,indian,,A mild curry with tofu and vegetables.,"{""250 g tofu"",""1 tomato"",""1 red onion"",""1 tsp turmeric"",""100 g spinach""}","{""Cook onion tomato and turmeric."",""Add tofu and water."",""Simmer gently."",""Add spinach before serving.""}",15,18,2,mild,Use leftover curry as noodle gravy.,"{""Tofu"",""Tomato"",""Red Onion"",""Turmeric"",""Spinach""}","{""lower_sugar""}"
Okra Curry,Kari Bendi,秋葵咖喱,வெண்டைக்காய் கறி,indian,,Okra simmered in a tomato turmeric curry.,"{""250 g okra"",""1 tomato"",""1 red onion"",""2 cloves garlic"",""1 tsp turmeric""}","{""Cook onion garlic tomato and turmeric."",""Add okra."",""Simmer until tender."",""Serve with rice.""}",15,15,2,medium,Use whole okra tips if fresh and tender.,"{""Okra"",""Tomato"",""Red Onion"",""Garlic"",""Turmeric""}","{""lower_sugar""}"
Spinach Egg Curry,Kari Bayam Telur,菠菜鸡蛋咖喱,பசலை முட்டை கறி,indian,,A protein-rich egg curry with spinach.,"{""3 eggs"",""250 g spinach"",""1 tomato"",""1 red onion"",""1 tsp turmeric""}","{""Boil eggs."",""Cook onion tomato and turmeric."",""Add spinach and simmer."",""Add eggs and serve.""}",15,20,2,medium,Use leftover spinach curry with toast or rice.,"{""Egg"",""Spinach"",""Tomato"",""Red Onion"",""Turmeric""}","{""lower_sugar""}"
Chickpea Style Tempe Curry,Kari Tempe,天贝咖喱,டெம்பே கறி,indian,,A plant-based curry using tempeh as the main protein.,"{""250 g tempeh"",""1 tomato"",""1 red onion"",""1 tsp turmeric"",""120 ml coconut milk""}","{""Brown tempeh lightly."",""Cook onion tomato and turmeric."",""Add tempeh and coconut milk."",""Simmer until coated.""}",15,20,2,medium,Use tempeh crumbs as topping for rice bowls.,"{""Tempeh"",""Tomato"",""Red Onion"",""Turmeric"",""Coconut Milk""}","{""high_protein""}"
Ginger Tomato Rasam,Rasam Tomato Halia,姜番茄拉萨姆,இஞ்சி தக்காளி ரசம்,indian,,A light sour peppery tomato ginger soup.,"{""2 tomatoes"",""4 slices ginger"",""2 cloves garlic"",""1 chili""}","{""Crush tomato ginger garlic and chili."",""Simmer with water."",""Season lightly."",""Serve as soup.""}",10,15,2,spicy,Use overripe tomatoes for deeper flavour.,"{""Tomato"",""Ginger"",""Garlic"",""Chili""}","{""lower_sugar"",""lower_sodium""}"
Carrot Cabbage Poriyal,Kobis Lobak Poriyal,胡萝卜卷心菜炒菜,கேரட் முட்டைக்கோஸ் பொரியல்,indian,,A dry vegetable stir-fry with cabbage and carrot.,"{""200 g cabbage"",""1 carrot"",""1 red onion"",""1 chili""}","{""Slice vegetables thinly."",""Cook onion and chili."",""Add cabbage and carrot."",""Stir-fry until tender.""}",15,12,2,mild,Use cabbage outer leaves if clean and fresh.,"{""Cabbage"",""Carrot"",""Red Onion"",""Chili""}","{""lower_sugar""}"
Banana Appam Simple,Appam Pisang,香蕉煎饼,வாழை அப்பம்,indian,,A simple banana pancake-style snack.,"{""2 bananas mashed"",""1 cup rice flour or blended rice"",""1 pandan leaf infusion""}","{""Mash banana."",""Mix with rice base and pandan infusion."",""Cook small pancakes on a pan."",""Serve warm.""}",15,10,2,mild,Use overripe bananas instead of discarding them.,"{""Banana"",""Rice"",""Pandan Leaf""}","{}"
Mango Cucumber Salad,Salad Mangga Timun,芒果黄瓜沙拉,மாம்பழ வெள்ளரி சாலட்,malay,,A fresh salad with mango cucumber chili and onion.,"{""1 mango sliced"",""1 cucumber sliced"",""1 chili sliced"",""1 red onion sliced""}","{""Slice mango and cucumber."",""Add chili and onion."",""Toss with lime."",""Serve chilled.""}",12,0,2,spicy,Use firm mango near the seed in the salad too.,"{""Mango"",""Cucumber"",""Chili"",""Red Onion""}","{""lower_sodium""}"
Mango Chicken Salad,Salad Ayam Mangga,芒果鸡肉沙拉,மாம்பழ கோழி சாலட்,malay,,A light chicken salad with mango and cucumber.,"{""250 g chicken breast"",""1 mango sliced"",""1 cucumber sliced"",""1 tomato""}","{""Cook chicken and slice."",""Slice mango cucumber and tomato."",""Toss together."",""Serve chilled or room temperature.""}",15,15,2,mild,Use leftover cooked chicken for this salad.,"{""Chicken Breast"",""Mango"",""Cucumber"",""Tomato""}","{""high_protein"",""lower_sodium""}"
Coconut Turmeric Rice,Nasi Kunyit Santan,椰香姜黄饭,தேங்காய் மஞ்சள் சாதம்,malay,,Rice cooked with turmeric and coconut milk for aroma and colour.,"{""2 cups rice"",""100 ml coconut milk"",""1 tsp turmeric"",""1 pandan leaf""}","{""Rinse rice."",""Add turmeric coconut milk and pandan."",""Cook until fluffy."",""Serve with protein or vegetables.""}",10,25,2,mild,Use leftover rice for breakfast porridge or fried rice.,"{""Rice"",""Coconut Milk"",""Turmeric"",""Pandan Leaf""}","{""lower_sugar""}"
Garlic Chili Shrimp,Udang Cili Bawang Putih,蒜辣虾,பூண்டு மிளகாய் இறால்,malay,,A fast shrimp stir-fry with garlic and chili.,"{""200 g shrimp"",""3 cloves garlic"",""2 chilies"",""1 red onion""}","{""Fry garlic onion and chili."",""Add shrimp."",""Cook until pink."",""Serve hot.""}",10,8,2,spicy,Use shrimp shells for stock if peeling fresh shrimp.,"{""Shrimp"",""Garlic"",""Chili"",""Red Onion""}","{""high_protein"",""lower_sugar""}"
Anchovy Fried Rice,Nasi Goreng Ikan Bilis,江鱼仔炒饭,நெத்திலி பொரித்த சாதம்,malay,,A savoury fried rice with crispy anchovies and egg.,"{""2 cups cooked rice"",""2 tbsp anchovy"",""1 egg"",""2 cloves garlic"",""1 chili""}","{""Fry anchovies until crisp."",""Cook garlic chili and egg."",""Add rice."",""Top with anchovies.""}",10,12,2,medium,Use day-old rice for best texture.,"{""Rice"",""Anchovy"",""Egg"",""Garlic"",""Chili""}","{}"
Sweet Potato Curry,Kari Ubi Keledek,红薯咖喱,சர்க்கரைவள்ளி கறி,indian,,A gentle curry with sweet potato and spinach.,"{""1 sweet potato cubed"",""100 g spinach"",""1 tomato"",""1 red onion"",""1 tsp turmeric""}","{""Cook onion tomato and turmeric."",""Add sweet potato and water."",""Simmer until soft."",""Add spinach before serving.""}",15,25,2,mild,Keep clean sweet potato skin for extra fiber.,"{""Sweet Potato"",""Spinach"",""Tomato"",""Red Onion"",""Turmeric""}","{}"
Potato Egg Hash,Kentang Telur,土豆鸡蛋,உருளைக்கிழங்கு முட்டை,malay,,A simple potato and egg pan dish.,"{""2 potatoes diced"",""2 eggs"",""1 red onion"",""2 cloves garlic""}","{""Cook potato until tender."",""Fry onion and garlic."",""Add potato and eggs."",""Cook until set.""}",15,18,2,mild,Use small potato pieces left from curry preparation.,"{""Potato"",""Egg"",""Red Onion"",""Garlic""}","{}"
Eggplant Tofu Stir Fry,Terung Tauhu,茄子豆腐,கத்திரிக்காய் டோஃபு,chinese,,A soft eggplant and tofu stir-fry.,"{""1 eggplant"",""200 g tofu"",""2 cloves garlic"",""1 chili""}","{""Pan-fry tofu."",""Cook eggplant until soft."",""Add garlic and chili."",""Combine and serve.""}",15,15,2,medium,Use leftover tofu cubes in soup.,"{""Eggplant"",""Tofu"",""Garlic"",""Chili""}","{""lower_sugar""}"
Okra Tomato Stir Fry,Bendi Tomato,秋葵番茄,வெண்டைக்காய் தக்காளி,indian,,A quick okra and tomato vegetable dish.,"{""250 g okra"",""1 tomato"",""1 red onion"",""2 cloves garlic""}","{""Slice okra."",""Cook onion garlic and tomato."",""Add okra."",""Stir-fry until tender.""}",12,12,2,mild,Use ripe tomatoes to make a natural sauce.,"{""Okra"",""Tomato"",""Red Onion"",""Garlic""}","{""lower_sugar""}"
Cabbage Egg Nasi Bowl,Mangkuk Nasi Kobis Telur,卷心菜鸡蛋饭,முட்டைக்கோஸ் முட்டை சாதம்,chinese,,A rice bowl with cabbage and egg.,"{""2 cups rice"",""2 eggs"",""200 g cabbage"",""2 cloves garlic""}","{""Cook cabbage with garlic."",""Fry or scramble eggs."",""Serve over rice."",""Add light seasoning.""}",10,12,2,mild,Use leftover cabbage stir-fry as bowl topping.,"{""Rice"",""Egg"",""Cabbage"",""Garlic""}","{""lower_sugar""}"
Chicken Spinach Rice,Nasi Ayam Bayam,菠菜鸡饭,கோழி பசலை சாதம்,malay,,A simple rice meal with chicken and spinach.,"{""2 cups rice"",""250 g chicken breast"",""200 g spinach"",""2 cloves garlic""}","{""Cook rice."",""Stir-fry chicken with garlic."",""Add spinach."",""Serve over rice.""}",15,18,2,mild,Use spinach stems finely chopped in the stir-fry.,"{""Rice"",""Chicken Breast"",""Spinach"",""Garlic""}","{""high_protein"",""lower_sugar""}"
Lemongrass Chicken,Ayam Serai,香茅鸡,எலுமிச்சை புல் கோழி,malay,,Chicken cooked with fragrant lemongrass and onion.,"{""300 g chicken breast"",""2 stalks lemongrass"",""1 red onion"",""2 cloves garlic"",""1 chili""}","{""Bruise lemongrass."",""Cook onion garlic chili and lemongrass."",""Add chicken."",""Cook until done.""}",15,18,2,medium,Use lemongrass tops to scent broth.,"{""Chicken Breast"",""Lemongrass"",""Red Onion"",""Garlic"",""Chili""}","{""high_protein"",""lower_sugar""}"
Ginger Tofu Porridge,Bubur Tauhu Halia,姜豆腐粥,இஞ்சி டோஃபு கஞ்சி,chinese,,A soft porridge with tofu and ginger.,"{""1 cup rice"",""150 g tofu"",""4 slices ginger"",""water as needed""}","{""Simmer rice with water."",""Add ginger."",""Add tofu near the end."",""Serve warm.""}",10,30,2,mild,Use leftover rice to reduce cooking time.,"{""Rice"",""Tofu"",""Ginger""}","{""lower_sugar"",""lower_sodium""}"
Pineapple Cucumber Rojak,Rojak Nanas Timun,菠萝黄瓜罗惹,அன்னாசி வெள்ளரி ரோஜாக்,malay,,A fresh fruit and vegetable rojak-style mix.,"{""1 cup pineapple"",""1 cucumber"",""1 mango"",""1 chili optional""}","{""Slice fruits and cucumber."",""Add chili if desired."",""Toss with light dressing."",""Serve fresh.""}",15,0,2,mild,Use fruit pieces from trimming in the same bowl.,"{""Pineapple"",""Cucumber"",""Mango"",""Chili""}","{""lower_sodium""}"
Carrot Rice Porridge,Bubur Lobak Merah,胡萝卜粥,கேரட் கஞ்சி,chinese,,A mild rice porridge with carrot and ginger.,"{""1 cup rice"",""1 carrot diced"",""3 slices ginger""}","{""Simmer rice in water."",""Add carrot and ginger."",""Cook until soft."",""Serve warm.""}",10,30,2,mild,Use leftover cooked rice to make quick porridge.,"{""Rice"",""Carrot"",""Ginger""}","{""lower_sugar"",""lower_sodium""}"
Mackerel Turmeric Fry,Ikan Kembung Goreng Kunyit,姜黄炸鱼,மஞ்சள் மீன் வறுவல்,malay,,Mackerel seasoned with turmeric and lightly fried.,"{""2 mackerel pieces"",""1 tsp turmeric"",""1 chili"",""1 cucumber sliced""}","{""Rub fish with turmeric."",""Pan-fry until cooked."",""Serve with chili and cucumber."",""Add rice if desired.""}",10,15,2,medium,Use leftover fish flakes in fried rice.,"{""Mackerel"",""Turmeric"",""Chili"",""Cucumber""}","{""high_protein"",""lower_sugar""}"
Shrimp Okra Curry,Kari Udang Bendi,虾秋葵咖喱,இறால் வெண்டைக்காய் கறி,indian,,A seafood curry with okra tomato and turmeric.,"{""200 g shrimp"",""150 g okra"",""1 tomato"",""1 tsp turmeric"",""1 red onion""}","{""Cook onion tomato and turmeric."",""Add okra."",""Add shrimp near the end."",""Simmer until cooked.""}",15,18,2,medium,Use shrimp shells to make broth before curry.,"{""Shrimp"",""Okra"",""Tomato"",""Turmeric"",""Red Onion""}","{""high_protein"",""lower_sugar""}"
